CSI_SITE_HANDLE,CSI_ADDRESS_ID,CSI_CORE_SITE_ID,CSI_CUST_HANDLE,CSI_ORDER_HANDLE,CSI_SERVICEHANDLE,CSI_USID,CSI_SERVICEELEMENTCLASS,GOLD_SITE_CODE,GOLD_ADDRESS_ID,GOLD_CORE_SITE_ID,GOLD_STATUS,GOLD_ICO,IS_AVAILABLE_AFTER_ADD_WHITESPACE
UK-PL-DaiwaSecurities-001,,,42390,41289,IP_VPN,NOT REQUIRED,NOT REQUIRED,UK-PL-DaiwaSecurities-001,,,0,42390,CSI_SITEHANDLE_FOUND_IN_GOLD
STOB2773-2,,,2773,52753,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,STOB2773-2,,,0,2773,CSI_SITEHANDLE_FOUND_IN_GOLD
ROCB4224-6,,,4224,48392,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,ROCB4224-6,,,0,4224,CSI_SITEHANDLE_FOUND_IN_GOLD
GLOBAL VALUE CHINA/AUSTRALIA,,,36616,57008,IP_VPN,NOT REQUIRED,NOT REQUIRED,GLOBAL VALUE CHINA/AUSTRALIA,,,0,36616,CSI_SITEHANDLE_FOUND_IN_GOLD
QLSB5368-2,,,5368,33082,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,QLSB5368-2,,,0,5368,CSI_SITEHANDLE_FOUND_IN_GOLD
BNP PARIS1,,,2748,45527,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,BNP PARIS1,,,0,2748,CSI_SITEHANDLE_FOUND_IN_GOLD
BNP PARIS2,,,2748,45544,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,BNP PARIS2,,,0,2748,CSI_SITEHANDLE_FOUND_IN_GOLD
BCS Murcia,,,5984,55472,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,BCS Murcia,,,0,5984,CSI_SITEHANDLE_FOUND_IN_GOLD
FR-Marseille 2,,,4013,37184,IP_VPN,NOT REQUIRED,NOT REQUIRED,FR-Marseille 2,,,0,4013,CSI_SITEHANDLE_FOUND_IN_GOLD
Property 545,,,1901,45858,IP_VPN,NOT REQUIRED,NOT REQUIRED,Property 545,,,0,1901,CSI_SITEHANDLE_FOUND_IN_GOLD
1061,,,7814,43770,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,1061,,,0,7814,CSI_SITEHANDLE_FOUND_IN_GOLD
AE-ML-ADCB-01,,,43506,51265,IP_VPN,NOT REQUIRED,NOT REQUIRED,AE-ML-ADCB-01,,,0,43506,CSI_SITEHANDLE_FOUND_IN_GOLD
Guangzhou 6601020,,,3963,46506,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Guangzhou 6601020,,,0,3963,CSI_SITEHANDLE_FOUND_IN_GOLD
FLRB1901-2,MAG5314449,MSG5314734,1901,44537,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,FLRB1901-2,MAG5314449,MSG5314734,0,1901,CSI_SITEHANDLE_FOUND_IN_GOLD
Ag. Guarenas,,,35943,48998,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Ag. Guarenas,,,0,35943,CSI_SITEHANDLE_FOUND_IN_GOLD
BEGHI SAY - NANTES,,,36085,50002,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,BEGHI SAY - NANTES,,,0,36085,CSI_SITEHANDLE_FOUND_IN_GOLD
ESSB1121-1,,,1121,24934,X_25,NOT REQUIRED,NOT REQUIRED,ESSB1121-1,,,0,1121,CSI_SITEHANDLE_FOUND_IN_GOLD
YK/Kemble/Yamaha Corp.,,,32956,49967,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,YK/Kemble/Yamaha Corp.,,,0,32956,CSI_SITEHANDLE_FOUND_IN_GOLD
WAWB5398-2,,,5398,54134,IP_VPN,NOT REQUIRED,NOT REQUIRED,WAWB5398-2,,,0,5398,CSI_SITEHANDLE_FOUND_IN_GOLD
MT_Cop,,,19124,56247,IP_VPN,NOT REQUIRED,NOT REQUIRED,MT_Cop,,,0,19124,CSI_SITEHANDLE_FOUND_IN_GOLD
Parma,,,4402,36250,IP_VPN,NOT REQUIRED,NOT REQUIRED,Parma,,,0,4402,CSI_SITEHANDLE_FOUND_IN_GOLD
ACS Soucelles,,,5984,55474,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,ACS Soucelles,,,0,5984,CSI_SITEHANDLE_FOUND_IN_GOLD
MIAB9231-1,,,9231,54548,IP_VPN,NOT REQUIRED,NOT REQUIRED,MIAB9231-1,,,0,9231,CSI_SITEHANDLE_FOUND_IN_GOLD
Valladolid CSPLC,,,25065,47002,IP_VPN,NOT REQUIRED,NOT REQUIRED,Valladolid CSPLC,,,2,25065,CSI_SITEHANDLE_FOUND_IN_GOLD
Astrakhan,,,23128,43803,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Astrakhan,,,0,23128,CSI_SITEHANDLE_FOUND_IN_GOLD
HFD2-23664,,,23664,55878,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,HFD2-23664,,,0,23664,CSI_SITEHANDLE_FOUND_IN_GOLD
Melbourne (G),,,9594,47410,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Melbourne (G),,,0,9594,CSI_SITEHANDLE_FOUND_IN_GOLD
Hanta-UK,,,4210,69244,IP_VPN,NOT REQUIRED,NOT REQUIRED,Hanta-UK,,,0,4210,CSI_SITEHANDLE_FOUND_IN_GOLD
US- Hoover,,,5682,48562,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,US- Hoover,,,0,5682,CSI_SITEHANDLE_FOUND_IN_GOLD
SDQB4587-2,,,4587,54317,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,SDQB4587-2,,,0,4587,CSI_SITEHANDLE_FOUND_IN_GOLD
2319-ANNECY,,,2319,57753,PPP_DIAL,NOT REQUIRED,NOT REQUIRED,2319-ANNECY,,,0,2319,CSI_SITEHANDLE_FOUND_IN_GOLD
BAT Warsaw,MA09012112,MS09011958,1859,58191,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,BAT Warsaw,MA09012112,MS09011958,0,1859,CSI_SITEHANDLE_FOUND_IN_GOLD
BAT-Groningen,MAG5207217,MSG5207350,1859,58198,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,BAT-Groningen,MAG5207217,MSG5207350,0,1859,CSI_SITEHANDLE_FOUND_IN_GOLD
Oc?? Mulheim,,,7377,53776,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
Morgan Stanley  ,,,6265,51748,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Morgan Stanley,,,0,2198,CSI_SITEHANDLE_FOUND_IN_GOLD_AFTER_TRIM
CHKG39,,,7863,51145,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,CHKG39,,,0,7863,CSI_SITEHANDLE_FOUND_IN_GOLD
MNLB2018-1,,,2018,36113,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,MNLB2018-1,,,0,2018,CSI_SITEHANDLE_FOUND_IN_GOLD
Test PVC,,,2646,51683,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Test PVC,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
BAT-Lagos,,,1859,58400,IP_VPN,NOT REQUIRED,NOT REQUIRED,BAT-Lagos,,,0,1859,CSI_SITEHANDLE_FOUND_IN_GOLD
BAT-Manama,,,1859,58186,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,BAT-Manama,,,0,1859,CSI_SITEHANDLE_FOUND_IN_GOLD
BAT-Jeddah,,,1859,58217,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,BAT-Jeddah,,,0,1859,CSI_SITEHANDLE_FOUND_IN_GOLD
95002-16-p001,,,30825,55591,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,95002-16-p001,,,0,30825,CSI_SITEHANDLE_FOUND_IN_GOLD
KN Turnhout,,,9319,43843,IP_VPN,NOT REQUIRED,NOT REQUIRED,KN Turnhout,,,0,9319,CSI_SITEHANDLE_FOUND_IN_GOLD
Asni??res,,,999994,56210,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
Valencia Moyresa,,,999994,56254,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Valencia Moyresa,,,0,999994,CSI_SITEHANDLE_FOUND_IN_GOLD
LA FRENAYE PGD824,,,42429,50799,IP_VPN,NOT REQUIRED,NOT REQUIRED,LA FRENAYE PGD824,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
KN Malpensa,,,9319,57218,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,KN Malpensa,,,0,9319,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0138 - NOTRE DAME DE GRAVENCHON,,,40178,59441,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0138 - NOTRE DAME DE GRAVENCHON,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
Oslo(SBS),,,2663,58054,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Oslo(SBS),,,0,7152,CSI_SITEHANDLE_FOUND_IN_GOLD
Refco Inc,,,6265,54754,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Refco Inc,,,0,6265,CSI_SITEHANDLE_FOUND_IN_GOLD
MEXB10077-3,,,10077,38326,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,MEXB10077-3,,,0,10077,CSI_SITEHANDLE_FOUND_IN_GOLD
LYSB7995-1,,,7995,83245,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,LYSB7995-1,,,0,7995,CSI_SITEHANDLE_FOUND_IN_GOLD
FTI DE - M??nchen,,,1576,56482,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,FTI DE - M??nchen,,,0,1576,CSI_SITEHANDLE_FOUND_IN_GOLD
36421-BR-Sachs SAB,CI00001541,CI00001536,36421,39016,IP_VPN,NOT REQUIRED,NOT REQUIRED,36421-BR-Sachs SAB,CI00001541,CI00001536,0,36421,CSI_SITEHANDLE_FOUND_IN_GOLD
OMAB5013-2,,,5013,53887,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,OMAB5013-2,,,0,5013,CSI_SITEHANDLE_FOUND_IN_GOLD
UBS AG ZRH1,,,2836,98806,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,UBS AG ZRH1,,,0,2836,CSI_SITEHANDLE_FOUND_IN_GOLD
IT-SIA-San PaoloImi-01,,,660336,86737,IP_VPN_NNI_GATEWAY,NOT REQUIRED,NOT REQUIRED,IT-SIA-San PaoloImi-01,,,0,660336,CSI_SITEHANDLE_FOUND_IN_GOLD
Madrid KPMG,,,10246,42617,IP_VPN,NOT REQUIRED,NOT REQUIRED,Madrid KPMG,,,0,10246,CSI_SITEHANDLE_FOUND_IN_GOLD
KE-008-X,,,2646,90477,X_25,NOT REQUIRED,NOT REQUIRED,KE-008-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
Interbrew - ESP1,,,10678,51155,IP_VPN,NOT REQUIRED,NOT REQUIRED,Interbrew - ESP1,,,0,10678,CSI_SITEHANDLE_FOUND_IN_GOLD
TOLB4224-4,,,4224,48359,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,TOLB4224-4,,,0,4224,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Bank Vienna MCS 1,,,1668,48865,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Bank Vienna MCS 1,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Bank Wilmington,,,1668,48879,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Bank Wilmington,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Real Estate  Brussels,,,1668,47854,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Real Estate  Brussels,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Bank Bucharest MCS 1,,,1668,47855,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Bank Bucharest MCS 1,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
LEZENNES TDE322,,,42429,45811,IP_VPN,NOT REQUIRED,NOT REQUIRED,LEZENNES TDE322,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
ALSTOM Caracas,,,42429,50028,IP_VPN,NOT REQUIRED,NOT REQUIRED,ALSTOM Caracas,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
THOM520,,,2198,59405,PPP_DIAL,NOT REQUIRED,NOT REQUIRED,THOM520,,,0,2198,CSI_SITEHANDLE_FOUND_IN_GOLD
QMZB4402-1,,,4402,26775,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,QMZB4402-1,,,0,4402,CSI_SITEHANDLE_FOUND_IN_GOLD
YOKB10559-1,,,10559,51948,IP_VPN,NOT REQUIRED,NOT REQUIRED,YOKB10559-1,,,0,10559,CSI_SITEHANDLE_FOUND_IN_GOLD
Ojata Terminal,,,9594,40831,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Ojata Terminal,,,0,9594,CSI_SITEHANDLE_FOUND_IN_GOLD
506,,,26246,47205,IP_VPN,NOT REQUIRED,NOT REQUIRED,506,,,0,35033,CSI_SITEHANDLE_FOUND_IN_GOLD
5916 - Dakar,,,5916,55580,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,5916 - Dakar,,,0,5916,CSI_SITEHANDLE_FOUND_IN_GOLD
CA-LG-CIBC-01,CI00094013,CI00093352,43518,51906,IP_VPN,NOT REQUIRED,NOT REQUIRED,CA-LG-CIBC-01,CI00094013,CI00093352,0,43518,CSI_SITEHANDLE_FOUND_IN_GOLD
GWN-148195,,,7937,65153,X_25,NOT REQUIRED,NOT REQUIRED,GWN-148195,,,0,7937,CSI_SITEHANDLE_FOUND_IN_GOLD
DBB FRA,,,5218,64649,X_25,NOT REQUIRED,NOT REQUIRED,DBB FRA,,,0,5218,CSI_SITEHANDLE_FOUND_IN_GOLD
GWN-142256 Diesel,,,7937,65139,X_25,NOT REQUIRED,NOT REQUIRED,GWN-142256 Diesel,,,0,7937,CSI_SITEHANDLE_FOUND_IN_GOLD
Copenhagen KPMG,,,10246,42573,IP_VPN,NOT REQUIRED,NOT REQUIRED,Copenhagen KPMG,,,0,10246,CSI_SITEHANDLE_FOUND_IN_GOLD
Dupont9,,,35033,69741,IP_VPN,NOT REQUIRED,NOT REQUIRED,Dupont9,,,0,35033,CSI_SITEHANDLE_FOUND_IN_GOLD
Hitachi/Yusen Yokohama,,,2018,52504,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Hitachi/Yusen Yokohama,,,0,2018,CSI_SITEHANDLE_FOUND_IN_GOLD
JP218 kanazawa,,,28358,44508,IP_VPN,NOT REQUIRED,NOT REQUIRED,JP218 kanazawa,,,0,28358,CSI_SITEHANDLE_FOUND_IN_GOLD
JNBB9397-1,,,9397,55572,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,JNBB9397-1,,,0,9397,CSI_SITEHANDLE_FOUND_IN_GOLD
Paris - CC,,,18047,48939,IP_VPN,NOT REQUIRED,NOT REQUIRED,Paris - CC,,,0,18047,CSI_SITEHANDLE_FOUND_IN_GOLD
Honda HIA,,,9397,55489,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Honda HIA,,,0,9397,CSI_SITEHANDLE_FOUND_IN_GOLD
LONBB2273-1,,,2273,51449,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,LONBB2273-1,,,0,2273,CSI_SITEHANDLE_FOUND_IN_GOLD
VEJB9397-1,,,9397,55329,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,VEJB9397-1,,,0,9397,CSI_SITEHANDLE_FOUND_IN_GOLD
GLOBAL,,,4655,55644,CSP_PURPLE,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
LRIX040,,,9726,47257,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,LRIX040,,,0,9726,CSI_SITEHANDLE_FOUND_IN_GOLD
FRAB2273-1,,,2273,51455,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,FRAB2273-1,,,0,2273,CSI_SITEHANDLE_FOUND_IN_GOLD
LGE-St. Petersburg,,,2603,49462,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,LGE-St. Petersburg,,,0,2603,CSI_SITEHANDLE_FOUND_IN_GOLD
UK-PL-CharlesStanley-001,,,41879,36251,IP_VPN,NOT REQUIRED,NOT REQUIRED,UK-PL-CharlesStanley-001,,,0,41879,CSI_SITEHANDLE_FOUND_IN_GOLD
JPYOK01,CI00004825,CI00004795,10524,48029,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,JPYOK01,CI00004825,CI00004795,0,10524,CSI_SITEHANDLE_FOUND_IN_GOLD
KMTC-Bombay,,,9712,48846,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,KMTC-Bombay,,,0,9712,CSI_SITEHANDLE_FOUND_IN_GOLD
JP MORGAN SECURITIES LTD (JAPAN),,,23137,48358,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,JP MORGAN SECURITIES LTD (JAPAN),,,0,23137,CSI_SITEHANDLE_FOUND_IN_GOLD
SAIBOS FZE,,,2870,51217,IP_VPN,NOT REQUIRED,NOT REQUIRED,SAIBOS FZE,,,0,2870,CSI_SITEHANDLE_FOUND_IN_GOLD
11075 Vilnius,,,11075,49504,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,11075 Vilnius,,,0,11075,CSI_SITEHANDLE_FOUND_IN_GOLD
AKLB3963-1,,,3963,41781,IP_VPN,NOT REQUIRED,NOT REQUIRED,AKLB3963-1,,,0,3963,CSI_SITEHANDLE_FOUND_IN_GOLD
PTKS004,,,4347,50746,IP_VPN,NOT REQUIRED,NOT REQUIRED,PTKS004,,,0,4347,CSI_SITEHANDLE_FOUND_IN_GOLD
BUHB1597-1,,,1597,49431,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,BUHB1597-1,,,0,1597,CSI_SITEHANDLE_FOUND_IN_GOLD
BI-Columbia-Bogota,,,5682,50689,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,BI-Columbia-Bogota,,,0,5682,CSI_SITEHANDLE_FOUND_IN_GOLD
IPCTLASES,CI00019353,CI00019267,28112,31372,IP_VPN,NOT REQUIRED,NOT REQUIRED,IPCTLASES,CI00019353,CI00019267,0,28112,CSI_SITEHANDLE_FOUND_IN_GOLD
FR-Nanterre Host Ctr,,,4013,34532,IP_VPN,NOT REQUIRED,NOT REQUIRED,FR-Nanterre Host Ctr,,,0,4013,CSI_SITEHANDLE_FOUND_IN_GOLD
Ottawa-BP,,,10944,47070,IP_VPN,NOT REQUIRED,NOT REQUIRED,Ottawa-BP,,,2,10944,CSI_SITEHANDLE_FOUND_IN_GOLD
Saupiquet Paris,,,40552,48339,IP_VPN,NOT REQUIRED,NOT REQUIRED,Saupiquet Paris,,,0,40552,CSI_SITEHANDLE_FOUND_IN_GOLD
Great  Yarmouth,,,7372,47812,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Great  Yarmouth,,,0,7372,CSI_SITEHANDLE_FOUND_IN_GOLD
EG-NN-NationalBankofEgypt-001,CI00011655,CI00011584,41586,31326,IP_VPN,NOT REQUIRED,NOT REQUIRED,EG-NN-NationalBankofEgypt-001,CI00011655,CI00011584,0,41586,CSI_SITEHANDLE_FOUND_IN_GOLD
Asti (T),,,6106,51222,IP_VPN,NOT REQUIRED,NOT REQUIRED,Asti (T),,,0,6106,CSI_SITEHANDLE_FOUND_IN_GOLD
GWN-110561,,,7937,46640,X_25,NOT REQUIRED,NOT REQUIRED,GWN-110561,,,0,7937,CSI_SITEHANDLE_FOUND_IN_GOLD
GWN-110953,,,7937,47453,X_25,NOT REQUIRED,NOT REQUIRED,GWN-110953,,,0,7937,CSI_SITEHANDLE_FOUND_IN_GOLD
0,,,3822,50137,INTERNET_DIRECT_PURPLE,NOT REQUIRED,NOT REQUIRED,0,,,0,3822,CSI_SITEHANDLE_FOUND_IN_GOLD
HME-N Honda Offenbach,,,9397,40050,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,HME-N Honda Offenbach,,,0,9397,CSI_SITEHANDLE_FOUND_IN_GOLD
UTELL-Miami,,,18049,54679,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,UTELL-Miami,,,0,18049,CSI_SITEHANDLE_FOUND_IN_GOLD
NZ-ES-El Ejido,,,7540,38342,IP_VPN,NOT REQUIRED,NOT REQUIRED,NZ-ES-El Ejido,,,0,7540,CSI_SITEHANDLE_FOUND_IN_GOLD
10492_Belfast_New,MAG5206213,MSG5206314,10492,51659,IP_VPN,NOT REQUIRED,NOT REQUIRED,10492_Belfast_New,MAG5206213,MSG5206314,0,10492,CSI_SITEHANDLE_FOUND_IN_GOLD
AKER CSO HOUSTON,,,2870,50419,IP_VPN,NOT REQUIRED,NOT REQUIRED,AKER CSO HOUSTON,,,0,2870,CSI_SITEHANDLE_FOUND_IN_GOLD
Tokyo (NF),,,23137,48455,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Tokyo (NF),,,0,23137,CSI_SITEHANDLE_FOUND_IN_GOLD
Genicom D Munchen,,,9697,11521,PPP_DIAL,NOT REQUIRED,NOT REQUIRED,Genicom D Munchen,,,0,9697,CSI_SITEHANDLE_FOUND_IN_GOLD
Merck Mexico,CI00022604,CI00022510,9828,60926,X_25,NOT REQUIRED,NOT REQUIRED,Merck Mexico,CI00022604,CI00022510,0,9828,CSI_SITEHANDLE_FOUND_IN_GOLD
San Salvador,CI00053397,CI00053058,9594,40194,IP_VPN,NOT REQUIRED,NOT REQUIRED,San Salvador,CI00053397,CI00053058,0,9594,CSI_SITEHANDLE_FOUND_IN_GOLD
Akcros Greiz,,,1908,48903,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Akcros Greiz,,,0,1908,CSI_SITEHANDLE_FOUND_IN_GOLD
Costa Rica - Heredia - PMI,,,10839,50545,IP_VPN,NOT REQUIRED,NOT REQUIRED,Costa Rica - Heredia - PMI,,,0,10839,CSI_SITEHANDLE_FOUND_IN_GOLD
Credit Agricole,,,7579,39352,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Credit Agricole,,,0,7579,CSI_SITEHANDLE_FOUND_IN_GOLD
Vertis Turkey,,,3639,42348,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Vertis Turkey,,,0,3639,CSI_SITEHANDLE_FOUND_IN_GOLD
DXBB9340-1,,,9340,54628,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,DXBB9340-1,,,0,9340,CSI_SITEHANDLE_FOUND_IN_GOLD
Equant Hosting Amsterdam,,,10383,47969,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Equant Hosting Amsterdam,,,0,10383,CSI_SITEHANDLE_FOUND_IN_GOLD
BCS Ivory Coast,,,7540,41323,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,BCS Ivory Coast,,,0,7540,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Moscow MCS 1,,,1668,36751,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Moscow MCS 1,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ZAR,,,30075,48591,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,ZAR,,,0,30075,CSI_SITEHANDLE_FOUND_IN_GOLD
LGWB9340-2,,,9340,46945,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,LGWB9340-2,,,0,9340,CSI_SITEHANDLE_FOUND_IN_GOLD
AKLB9340-1,,,9340,46949,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,AKLB9340-1,,,0,9340,CSI_SITEHANDLE_FOUND_IN_GOLD
n/a2,,,9340,46953,ATM,NOT REQUIRED,NOT REQUIRED,n/a2,,,0,9340,CSI_SITEHANDLE_FOUND_IN_GOLD
Preston_ALSTOM_42429,,,42429,60700,IP_VPN,NOT REQUIRED,NOT REQUIRED,Preston_ALSTOM_42429,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
36421-MX-Guadalajara,MAG5206393,MSG5206501,36421,39375,IP_VPN,NOT REQUIRED,NOT REQUIRED,36421-MX-Guadalajara,MAG5206393,MSG5206501,0,36421,CSI_SITEHANDLE_FOUND_IN_GOLD
35826_Senator Lines Limassol,,,661444,34710,IP_VPN,NOT REQUIRED,NOT REQUIRED,35826_Senator Lines Limassol,,,0,661444,CSI_SITEHANDLE_FOUND_IN_GOLD
WCTC_Stratford_Market_ALSTOM_42429,,,42429,60646,IP_VPN,NOT REQUIRED,NOT REQUIRED,WCTC_Stratford_Market_ALSTOM_42429,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
BOGB9202-1,,,9202,70543,ATM_PURPLE,NOT REQUIRED,NOT REQUIRED,BOGB9202-1,,,0,9202,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Securities Jakarta,,,1668,48063,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Securities Jakarta,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Insurance Kuala Lumpur,,,1668,48300,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Insurance Kuala Lumpur,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Managed Accounts MCS 2,,,1668,48487,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Managed Accounts MCS 2,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
GXS-45,,,36825,47887,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,GXS-45,,,0,36825,CSI_SITEHANDLE_FOUND_IN_GOLD
UK-JPMorganChaseBank-001,MAG5213280,MSG5213549,40099,17617,IP_VPN,NOT REQUIRED,NOT REQUIRED,UK-JPMorganChaseBank-001,MAG5213280,MSG5213549,0,40099,CSI_SITEHANDLE_FOUND_IN_GOLD
The Hague,CI00011731,CI00011660,9998,49622,IP_VPN,NOT REQUIRED,NOT REQUIRED,The Hague,CI00011731,CI00011660,0,675432,CSI_SITEHANDLE_FOUND_IN_GOLD
E765,,,11840,54217,IP_VPN,NOT REQUIRED,NOT REQUIRED,E765,,,0,11840,CSI_SITEHANDLE_FOUND_IN_GOLD
6716Wattens,,,23223,50724,IP_VPN,NOT REQUIRED,NOT REQUIRED,6716Wattens,,,0,23223,CSI_SITEHANDLE_FOUND_IN_GOLD
USZ1,,,3739,53663,IP_VPN,NOT REQUIRED,NOT REQUIRED,USZ1,,,0,3739,CSI_SITEHANDLE_FOUND_IN_GOLD
Trackdata,,,6265,50233,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Trackdata,,,0,6265,CSI_SITEHANDLE_FOUND_IN_GOLD
Rotterdam Nui's,,,1668,45750,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,Rotterdam Nui's,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
New Jersey (M),,,2859,50598,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,New Jersey (M),,,0,2859,CSI_SITEHANDLE_FOUND_IN_GOLD
Liffe-GNI,,,6265,48357,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Liffe-GNI,,,0,6265,CSI_SITEHANDLE_FOUND_IN_GOLD
