CSI_SITE_HANDLE,CSI_ADDRESS_ID,CSI_CORE_SITE_ID,CSI_CUST_HANDLE,CSI_ORDER_HANDLE,CSI_SERVICEHANDLE,CSI_USID,CSI_SERVICEELEMENTCLASS,GOLD_SITE_CODE,GOLD_ADDRESS_ID,GOLD_CORE_SITE_ID,GOLD_STATUS,GOLD_ICO,IS_AVAILABLE_AFTER_ADD_WHITESPACE
Brenntag Spain new address,,,12925,45841,IP_VPN,NOT REQUIRED,NOT REQUIRED,Brenntag Spain new address,,,0,12925,CSI_SITEHANDLE_FOUND_IN_GOLD
VIEB1799-1,,,1799,41505,IP_VPN,NOT REQUIRED,NOT REQUIRED,VIEB1799-1,,,0,1799,CSI_SITEHANDLE_FOUND_IN_GOLD
IP VPN/JCB-VAN,,,2605,21101,IP_VPN,NOT REQUIRED,NOT REQUIRED,IP VPN/JCB-VAN,,,0,2605,CSI_SITEHANDLE_FOUND_IN_GOLD
CPE-0149 STRAZASNA2,,,2646,21629,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,CPE-0149 STRAZASNA2,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
Helsinki Tietokuja,,,40681,49669,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Helsinki Tietokuja,,,0,40681,CSI_SITEHANDLE_FOUND_IN_GOLD
Kempten/IMAS,MAG5210267,MSG5210472,27899,29132,IP_VPN,NOT REQUIRED,NOT REQUIRED,Kempten/IMAS,MAG5210267,MSG5210472,0,27899,CSI_SITEHANDLE_FOUND_IN_GOLD
BHZB10077-4,,,10077,38069,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,BHZB10077-4,,,0,10077,CSI_SITEHANDLE_FOUND_IN_GOLD
JKTB1352-2,,,1352,43917,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,JKTB1352-2,,,0,1352,CSI_SITEHANDLE_FOUND_IN_GOLD
Kremenchuk_116256,MA18004092,MS18003981,28358,23494,IP_VPN,NOT REQUIRED,NOT REQUIRED,Kremenchuk_116256,MA18004092,MS18003981,0,28358,CSI_SITEHANDLE_FOUND_IN_GOLD
Bat-Sarajevo,,,1859,58399,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Bat-Sarajevo,,,0,1859,CSI_SITEHANDLE_FOUND_IN_GOLD
Richmond/K Line,,,41767,35704,IP_VPN,NOT REQUIRED,NOT REQUIRED,Richmond/K Line,,,0,41767,CSI_SITEHANDLE_FOUND_IN_GOLD
FR/JCB-CHI,,,2605,44937,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,FR/JCB-CHI,,,0,2605,CSI_SITEHANDLE_FOUND_IN_GOLD
Shell-Rijswijk,,,1634,26513,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Shell-Rijswijk,,,0,1634,CSI_SITEHANDLE_FOUND_IN_GOLD
COS,,,5274,46658,IP_VPN,NOT REQUIRED,NOT REQUIRED,COS,,,0,5274,CSI_SITEHANDLE_FOUND_IN_GOLD
AE10,,,36775,43713,IP_VPN,NOT REQUIRED,NOT REQUIRED,AE10,,,0,36775,CSI_SITEHANDLE_FOUND_IN_GOLD
JP226 Morioka,,,28358,44521,IP_VPN,NOT REQUIRED,NOT REQUIRED,JP226 Morioka,,,0,28358,CSI_SITEHANDLE_FOUND_IN_GOLD
TYOB1121-2,,,1121,41414,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,TYOB1121-2,,,0,1121,CSI_SITEHANDLE_FOUND_IN_GOLD
RIOB2273-1,,,2273,38061,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,RIOB2273-1,,,0,2273,CSI_SITEHANDLE_FOUND_IN_GOLD
Shell-Sur,,,1634,45495,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Shell-Sur,,,0,1634,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0324 - OLORON SAINTE MARIE,,,40178,65363,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0324 - OLORON SAINTE MARIE,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
BTNB27784-1,,,27784,34539,IP_VPN,NOT REQUIRED,NOT REQUIRED,BTNB27784-1,,,0,27784,CSI_SITEHANDLE_FOUND_IN_GOLD
KND Ismaning,,,41145,31558,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,KND Ismaning,,,0,9319,CSI_SITEHANDLE_FOUND_IN_GOLD
9813 - M??laga,,,9813,49698,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
IPWB23346-1,,,23346,55646,IP_VPN,NOT REQUIRED,NOT REQUIRED,IPWB23346-1,,,0,23346,CSI_SITEHANDLE_FOUND_IN_GOLD
BCNB9231-1,,,9231,57174,IP_VPN,NOT REQUIRED,NOT REQUIRED,BCNB9231-1,,,0,9231,CSI_SITEHANDLE_FOUND_IN_GOLD
HFDB 5013-3,,,5013,53868,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,HFDB 5013-3,,,0,5013,CSI_SITEHANDLE_FOUND_IN_GOLD
MKCB 5013-6,,,5013,50656,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,MKCB 5013-6,,,0,5013,CSI_SITEHANDLE_FOUND_IN_GOLD
NYCB3969-158,,,3969,48423,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,NYCB3969-158,,,0,3969,CSI_SITEHANDLE_FOUND_IN_GOLD
Marquette Partners ,,,6265,50217,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Marquette Partners,,,0,6265,CSI_SITEHANDLE_FOUND_IN_GOLD_AFTER_TRIM
JAOB5309-1,,,5309,45055,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,JAOB5309-1,,,0,5309,CSI_SITEHANDLE_FOUND_IN_GOLD
ANAB5013-2,,,5013,56857,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,ANAB5013-2,,,0,5013,CSI_SITEHANDLE_FOUND_IN_GOLD
Chesterfield Gardens,,,32016,43243,IP_VPN,NOT REQUIRED,NOT REQUIRED,Chesterfield Gardens,,,0,32016,CSI_SITEHANDLE_FOUND_IN_GOLD
BNEB38813-1,,,38813,56995,IP_VPN,NOT REQUIRED,NOT REQUIRED,BNEB38813-1,,,0,38813,CSI_SITEHANDLE_FOUND_IN_GOLD
TOULOUSE TDE335,,,42429,45839,IP_VPN,NOT REQUIRED,NOT REQUIRED,TOULOUSE TDE335,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
TokyoINC42556,,,42556,44806,IP_VPN,NOT REQUIRED,NOT REQUIRED,TokyoINC42556,,,0,42556,CSI_SITEHANDLE_FOUND_IN_GOLD
CDBS-BANGKOKTHAILAND01,,,9387,51841,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,CDBS-BANGKOKTHAILAND01,,,0,9387,CSI_SITEHANDLE_FOUND_IN_GOLD
TYOB5647-2,,,5647,53219,IP_VPN,NOT REQUIRED,NOT REQUIRED,TYOB5647-2,,,0,5647,CSI_SITEHANDLE_FOUND_IN_GOLD
2528-HAVANT,,,35038,52786,IP_VPN,NOT REQUIRED,NOT REQUIRED,2528-HAVANT,,,0,35038,CSI_SITEHANDLE_FOUND_IN_GOLD
SWINDON RL,,,43048,49142,IP_VPN,NOT REQUIRED,NOT REQUIRED,SWINDON RL,,,0,43048,CSI_SITEHANDLE_FOUND_IN_GOLD
FR_N_ALSTOM_Esvres,,,42429,51421,IP_VPN,NOT REQUIRED,NOT REQUIRED,FR_N_ALSTOM_Esvres,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
LB-IPVPN,MAG4213049,MSG4213237,10964,50181,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,LB-IPVPN,MAG4213049,MSG4213237,0,10964,CSI_SITEHANDLE_FOUND_IN_GOLD
NZDS (Florida) / NZ Milk (Caribbean),,,9528,58958,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,NZDS (Florida) / NZ Milk (Caribbean),,,0,9528,CSI_SITEHANDLE_FOUND_IN_GOLD
SAOB2222-2,,,2222,48758,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,SAOB2222-2,,,0,2222,CSI_SITEHANDLE_FOUND_IN_GOLD
LISB1901-2 (Prop 292),,,1901,58078,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,LISB1901-2 (Prop 292),,,0,1901,CSI_SITEHANDLE_FOUND_IN_GOLD
Hradek,MAG4100750,MSG4100756,23542,69521,IP_VPN,NOT REQUIRED,NOT REQUIRED,Hradek,MAG4100750,MSG4100756,0,23542,CSI_SITEHANDLE_FOUND_IN_GOLD
PHLB9174-1,,,9174,55356,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,PHLB9174-1,,,0,9174,CSI_SITEHANDLE_FOUND_IN_GOLD
Malvern,MA18000539,MS18000520,7995,59598,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Malvern,MA18000539,MS18000520,0,7995,CSI_SITEHANDLE_FOUND_IN_GOLD
