ORANGE_SITENAME,ADDRESS_ID,CORE_SITE_ID,SITECODE,UPDATED_SITECODE,UPDATED_ORANGE_SITENAME
CJ&J-Nilai,,,CJ&J-Nilai,CJJ-Nilai_SC,CJJ-Nilai_SC
CJ&J-Bangkok,,,CJ&J-Bangkok,CJJ-Bangkok_SC,CJJ-Bangkok_SC
CJ&J-Shah Alam,,,CJ&J-Shah Alam,CJJ-Shah Alam_SC,CJJ-Shah Alam_SC
CJ&J - Selangor,,,CJ&J - Selangor,CJJ - Selangor_SC,CJJ - Selangor_SC
P&G Brussels,,,P&G Brussels,PG Brussels_SC,PG Brussels_SC
K&N-PER,CI00044193,CI00043938,K&N-PER,KN-PER_SC,K&N-PER
K&N-BNE,,,K&N-BNE,KN-BNE_SC,KN-BNE_SC
K&N-ADL,,,K&N-ADL,KN-ADL_SC,KN-ADL_SC
ED&F Man Brazil,,,ED&F Man Brazil,EDF Man Brazil_SC,EDF Man Brazil_SC
"35826_Slavenburg & Huyser, Rotterdam",,,"35826_Slavenburg & Huyser, Rotterdam","35826_Slavenburg  Huyser, Rotterdam_SC","35826_Slavenburg  Huyser, Rotterdam_SC"
"35826_Norsk Land & Sjoettransport, Oslo",,,"35826_Norsk Land & Sjoettransport, Oslo","35826_Norsk Land  Sjoettransport, Osl_SC","35826_Norsk Land  Sjoettransport, Osl_SC"
"35826_Crowe&Co.AG, Basel",,,"35826_Crowe&Co.AG, Basel","35826_CroweCo.AG, Basel_SC","35826_CroweCo.AG, Basel_SC"
B&Q2,,,B&Q2,BQ2_SC,BQ2_SC
G&D Beijing,,,G&D Beijing,GD Beijing_SC,GD Beijing_SC
Denton Sales Vincent & Thomas,,,Denton Sales Vincent & Thomas,Denton Sales Vincent  Thomas_SC,Denton Sales Vincent  Thomas_SC
P&G Turkey,,,P&G Turkey,PG Turkey_SC,PG Turkey_SC
CSSB4584-1 & CSSB4584-2,,,CSSB4584-1 & CSSB4584-2,CSSB4584-1  CSSB4584-2_SC,CSSB4584-1  CSSB4584-2_SC
B&Q1,,,B&Q1,BQ1_SC,BQ1_SC
Toronto L&H,,,Toronto L&H,Toronto LH_SC,Toronto LH_SC
Ernst&Young-HK,,,Ernst&Young-HK,ErnstYoung-HK_SC,ErnstYoung-HK_SC
KONE Atlanta DC1 & DC2,,,KONE Atlanta DC1 & DC2,KONE Atlanta DC1  DC2_SC,KONE Atlanta DC1  DC2_SC
Tokyo/Mitsui & Co.,,,Tokyo/Mitsui & Co.,Tokyo/Mitsui  Co._SC,Tokyo/Mitsui  Co._SC
Hong Kong/Mitsui & Co.,,,Hong Kong/Mitsui & Co.,Hong Kong/Mitsui  Co._SC,Hong Kong/Mitsui  Co._SC
K&N-Ningbo,,,K&N-Ningbo,KN-Ningbo_SC,KN-Ningbo_SC
K&N - BJS,,,K&N - BJS,KN - BJS_SC,KN - BJS_SC
BOSNIA & HERZEGOVINA,,,BOSNIA & HERZEGOVINA,BOSNIA  HERZEGOVINA_SC,BOSNIA  HERZEGOVINA_SC
7462-Penzing T&D,,,7462-Penzing T&D,7462-Penzing TD_SC,7462-Penzing TD_SC
7462-Penzing T&D Vienna,,,7462-Penzing T&D Vienna,7462-Penzing TD Vienna_SC,7462-Penzing TD Vienna_SC
KN Lisboa Air & Sea,,,KN Lisboa Air & Sea,KN Lisboa Air  Sea_SC,KN Lisboa Air  Sea_SC
B&Q Direct Channels,,,B&Q Direct Channels,BQ Direct Channels_SC,BQ Direct Channels_SC
PL Polk & Co,,,PL Polk & Co,PL Polk  Co_SC,PL Polk  Co_SC
P&O Nedlloyd,,,P&O Nedlloyd,PO Nedlloyd_SC,PO Nedlloyd_SC
K&N-KUL-Airport,,,K&N-KUL-Airport,KN-KUL-Airport_SC,KN-KUL-Airport_SC
K&N-TXG,CI00006760,CI00006716,K&N-TXG,KN-TXG_SC,K&N-TXG
K&N-KHH,CI00006761,CI00006717,K&N-KHH,KN-KHH_SC,K&N-KHH
K&N-TPE,MA09000095,MS09000092,K&N-TPE,KN-TPE_SC,K&N-TPE
K&N-Xiamen,,,K&N-Xiamen,KN-Xiamen_SC,KN-Xiamen_SC
K&N-Guangzhou,CI00001537,CI00001532,K&N-Guangzhou,KN-Guangzhou_SC,K&N-Guangzhou
K&N-JKT,CI00019080,CI00018996,K&N-JKT,KN-JKT_SC,K&N-JKT
K&N-MAA,CI00021306,CI00021215,K&N-MAA,KN-MAA_SC,K&N-MAA
K&N-DEL,,,K&N-DEL,KN-DEL_SC,KN-DEL_SC
K&N-BOM,,,K&N-BOM,KN-BOM_SC,KN-BOM_SC
K&N-OSA-Nishi-Ku,,,K&N-OSA-Nishi-Ku,KN-OSA-Nishi-Ku_SC,KN-OSA-Nishi-Ku_SC
K&N-OSA-Minato-ku,,,K&N-OSA-Minato-ku,KN-OSA-Minato-ku_SC,KN-OSA-Minato-ku_SC
Sparing & Maintenance Facilities,,,Sparing & Maintenance Facilities,Sparing  Maintenance Facilities_SC,Sparing  Maintenance Facilities_SC
K&N-MNL,CI00018582,CI00018500,K&N-MNL,KN-MNL_SC,K&N-MNL
K&N-SIN,,,K&N-SIN,KN-SIN_SC,KN-SIN_SC
K&N-TYO-Town Office,CI00038520,CI00038315,K&N-TYO-Town Office,KN-TYO-Town Office_SC,K&N-TYO-Town Office
K&N-TYO-Narita City,CI00043990,CI00043735,K&N-TYO-Narita City,KN-TYO-Narita City_SC,K&N-TYO-Narita City
K&N-OSA-Sennan-City,CI00030047,CI00029928,K&N-OSA-Sennan-City,KN-OSA-Sennan-City_SC,K&N-OSA-Sennan-City
K&N-PUS,CI00032710,CI00032560,K&N-PUS,KN-PUS_SC,K&N-PUS
K&N-SEL-NC Office,MA09000099,MS09000096,K&N-SEL-NC Office,KN-SEL-NC Office_SC,K&N-SEL-NC Office
K&N-SEL,,,K&N-SEL,KN-SEL_SC,KN-SEL_SC
K&N-CMB,MA09000097,MS09000094,K&N-CMB,KN-CMB_SC,K&N-CMB
K&N-MFM,,,K&N-MFM,KN-MFM_SC,KN-MFM_SC
K&N-KHI,CI00046264,CI00045995,K&N-KHI,KN-KHI_SC,K&N-KHI
K&N-BKK,CI00036908,CI00036708,K&N-BKK,KN-BKK_SC,K&N-BKK
K&N-AKL,,,K&N-AKL,KN-AKL_SC,KN-AKL_SC
K&N-WLG,,,K&N-WLG,KN-WLG_SC,KN-WLG_SC
Dallas L&H,,,Dallas L&H,Dallas LH_SC,Dallas LH_SC
.SRE-US-SOU-1,MA18002013,MS18001949,Southfield L&H,Southfield LH_SC,.SRE-US-SOU-1
K&N-Dalian,,,K&N-Dalian,KN-Dalian_SC,KN-Dalian_SC
K&N-Qingdao,CI00025819,CI00025719,K&N-Qingdao,KN-Qingdao_SC,K&N-Qingdao
HMC Chiba R&D Center,,,HMC Chiba R&D Center,HMC Chiba RD Center_SC,HMC Chiba RD Center_SC
ED&F Man Israel Ltd,,,ED&F Man Israel Ltd,EDF Man Israel Ltd_SC,EDF Man Israel Ltd_SC
ED&F Man Commerico Sa de DV,,,ED&F Man Commerico Sa de DV,EDF Man Commerico Sa de DV_SC,EDF Man Commerico Sa de DV_SC
K&N-PEN,CI00044141,CI00043886,K&N-PEN,KN-PEN_SC,K&N-PEN
