ADDRESS_ID,CORE_ICO,CORE_STATUS
CI00013709,683512,0
CI00013712,676908,1
CI00013840,58424,1
CI00013896,683512,0
CI00013993,679662,1
CI00014016,33157,1
CI00014020,672739,1
CI00014037,683512,0
CI00014215,6392,1
CI00014247,10246,1
CI00014304,10246,1
CI00014314,10246,1
CI00014368,683512,0
CI00014434,679796,1
CI00014436,6392,1
CI00014489,6392,1
CI00014495,6392,1
CI00014503,679614,1
CI00014506,678931,1
CI00014518,679614,1
CI00014521,679614,1
CI00014585,682153,1
CI00014624,36572,1
CI00014736,9319,1
CI00014758,9319,1
CI00014848,682297,1
CI00014858,683512,0
CI00014893,43233,1
CI00014897,43233,1
CI00014904,43233,1
CI00014914,23542,1
CI00015012,4616,0
CI00015026,9733,1
CI00015071,10246,1
CI00015146,678931,1
CI00015258,6392,1
CI00015265,9319,1
CI00015287,6392,1
CI00015384,682041,1
CI00015482,683512,0
CI00015542,45523,1
CI00015845,36572,1
CI00015874,683512,0
CI00015878,33169,1
CI00015998,673542,1
CI00016011,6392,1
CI00016019,6392,1
CI00016037,6392,1
CI00016088,682247,1
CI00016212,23542,1
CI00016232,9319,1
CI00016251,681082,1
CI00016488,36572,1
CI00016524,158,1
CI00016538,683512,0
CI00016580,35015,1
CI00016616,628,1
CI00016732,9594,1
CI00016750,9319,1
CI00016978,683512,0
CI00016992,683512,0
CI00017178,1908,1
CI00017214,9594,1
CI00017345,39398,1
CI00017432,6392,1
CI00017668,683512,0
CI00017670,679812,1
CI00017704,35015,1
CI00017769,10503,1
CI00017799,35015,1
CI00017945,35015,1
CI00017974,670943,1
CI00018061,35756,1
CI00018064,35756,1
CI00018179,679231,1
CI00018183,683512,0
CI00018242,35015,1
CI00018261,2127,1
CI00018289,683512,0
CI00018293,683512,0
CI00018554,675432,1
CI00018556,675432,1
CI00018630,681604,1
CI00018632,681604,1
CI00018838,44269,1
CI00018887,23542,1
CI00019011,680086,1
CI00019017,678971,1
CI00019043,683512,0
CI00019091,1908,1
CI00019285,23542,1
CI00019645,671444,1
CI00020024,683512,0
CI00020026,683512,0
CI00020027,683512,0
CI00020081,6392,1
CI00020135,6392,1
CI00020181,6392,1
CI00020208,679614,1
CI00020235,679614,1
CI00020247,683512,0
CI00020379,6485,1
CI00020394,2346,1
CI00020475,679614,1
CI00020665,6392,1
CI00020771,39398,1
CI00020864,23542,1
CI00020946,1908,1
CI00021013,6392,1
CI00021028,1908,1
CI00021160,6392,1
CI00021204,6392,1
CI00021303,6392,1
CI00021356,6392,1
CI00021387,683512,0
CI00021532,27899,1
CI00021572,683512,0
CI00021635,673542,1
CI00021646,679796,1
CI00021768,35015,1
CI00021936,683512,0
CI00021949,682153,1
CI00021955,6392,1
CI00022003,683512,0
CI00022013,683512,0
CI00022101,43233,1
CI00022138,681908,1
CI00022146,1908,1
CI00022147,1908,1
CI00022181,3739,1
CI00022201,46059,1
CI00022249,35015,1
CI00022315,4616,1
CI00022357,683512,0
CI00022358,678931,1
CI00022410,6392,1
CI00022421,1908,1
CI00022445,2346,1
CI00022454,678931,1
CI00022499,682284,1
CI00022509,683512,0
CI00022552,1908,1
CI00022666,683512,0
CI00022685,1908,1
CI00022718,683512,0
CI00022727,683512,0
CI00023109,681885,1
CI00023140,35015,1
CI00023214,43233,1
CI00023280,35015,1
CI00023292,35015,1
CI00023307,683512,0
CI00023339,35015,1
CI00023378,682481,1
CI00023420,35015,1
CI00023445,35015,1
CI00023586,680918,1
CI00023709,681082,0
CI00023719,6392,1
CI00023723,681082,1
CI00023725,6392,1
CI00023765,36572,1
CI00023788,6392,1
CI00023811,158,1
CI00023843,682319,1
CI00023845,682319,1
CI00023904,6392,1
CI00023914,23542,1
CI00023918,23542,0
CI00023922,680950,1
CI00023957,679662,1
CI00023962,6392,1
CI00023975,6392,1
CI00024016,683512,0
CI00024177,6392,1
CI00024193,35015,1
CI00024239,6392,1
CI00024281,679662,1
CI00024299,35015,1
CI00024363,680264,1
CI00024387,10246,1
CI00024394,6392,1
CI00024430,6392,1
CI00024533,36572,1
CI00024547,6392,1
CI00024595,23622,1
CI00024601,23622,1
CI00024605,23622,1
CI00024611,23622,1
CI00024613,23622,1
CI00024615,23622,1
CI00024644,682375,1
CI00024666,35015,1
CI00024675,683512,0
CI00024721,23622,1
CI00025013,682449,1
CI00025330,683512,0
CI00025576,682367,1
CI00025620,683512,0
CI00025624,672739,1
CI00025680,682367,1
CI00025782,35015,1
CI00025784,35015,1
CI00025791,672739,1
CI00025857,1908,1
CI00025940,25765,1
CI00026530,682370,1
CI00026537,683512,0
CI00026980,681987,1
CI00027005,678931,1
CI00027188,682388,1
CI00027380,43233,1
CI00027391,1908,1
CI00027584,43499,1
CI00027667,1908,1
CI00027718,6392,1
CI00027806,6392,1
CI00027808,6392,1
CI00027924,682367,1
CI00027937,678448,1
CI00027958,35015,1
CI00027959,35015,1
CI00028108,682579,1
CI00028126,672739,1
CI00028132,672739,1
CI00028154,6392,1
CI00028162,6392,1
CI00028166,671444,1
CI00028234,6392,1
CI00028267,681818,1
CI00028284,678899,1
CI00028310,6392,1
CI00028542,1908,1
CI00028625,5831,1
CI00028688,6392,1
CI00028715,6392,1
CI00028740,6392,1
CI00028760,6392,1
CI00028815,10748,1
CI00028817,10748,1
CI00029091,683512,0
CI00029191,6392,1
CI00029229,6392,1
CI00029329,683512,0
CI00029350,6392,1
CI00029358,6392,1
CI00029392,6392,1
CI00029542,683512,0
CI00029667,681885,1
CI00029681,671444,1
CI00029701,1908,1
CI00029709,671274,1
CI00029751,6392,1
CI00030003,679662,1
CI00030044,10149,1
CI00030069,683512,0
CI00030129,35015,1
CI00030142,11371,1
CI00030216,23651,1
CI00030306,660189,1
CI00030386,683512,0
CI00030414,681885,1
CI00030501,7315,1
CI00030541,6392,1
CI00031274,7995,1
CI00031288,672739,1
CI00031330,672739,1
CI00031539,679662,1
CI00031760,683512,0
CI00031855,683512,0
CI00031876,6392,1
CI00031943,6392,1
CI00031951,6392,1
CI00032160,6392,1
CI00032163,6392,1
CI00032171,6392,1
CI00032198,33169,1
CI00032351,682198,1
CI00032352,682198,1
CI00032355,682198,1
CI00032364,682198,1
CI00032368,682198,1
CI00032443,1908,1
CI00032445,679796,1
CI00032480,680720,1
CI00032495,677250,1
CI00032679,6392,1
CI00032756,6392,1
CI00032777,1908,1
CI00032925,682614,1
CI00033008,6392,1
CI00033021,6392,1
CI00033133,6392,1
CI00033140,6392,1
CI00033150,678931,1
CI00033154,678931,1
CI00033155,678931,1
CI00033211,6392,1
CI00033260,672739,1
CI00033325,661321,1
CI00033347,679662,1
CI00033421,682492,1
CI00033439,39398,1
CI00033485,683512,0
CI00033495,6392,1
CI00033525,6392,1
CI00033867,40674,1
CI00034252,1908,1
CI00034593,1908,1
CI00034668,682654,1
CI00034708,682612,1
CI00034712,682612,1
CI00034725,1908,1
CI00034769,672830,1
CI00034915,680918,1
CI00035061,682578,1
CI00035332,682578,1
CI00035427,6392,1
CI00035676,36572,1
CI00035764,6392,1
CI00035772,6392,1
CI00035819,683512,0
CI00035877,6392,1
CI00035893,6392,1
CI00035911,36572,1
CI00036046,1908,1
CI00036159,6392,1
CI00036166,6392,1
CI00036168,6392,1
CI00036173,6392,1
CI00036174,6392,1
CI00036204,6392,1
CI00036224,681861,1
CI00036234,33508,1
CI00036311,683512,0
CI00036349,6392,1
CI00036351,6392,1
CI00036352,6392,1
CI00036354,6392,1
CI00036364,6392,1
CI00036422,683512,0
CI00036539,6392,1
CI00036540,683512,0
CI00036542,6392,1
CI00036550,35015,1
CI00036606,672286,1
CI00036627,682169,1
CI00036684,35015,1
CI00036729,6392,1
CI00036778,6392,1
CI00036912,683512,0
CI00036942,6392,1
CI00037073,683512,0
CI00037223,681527,1
CI00037476,683512,0
CI00037549,6392,1
CI00037775,6392,1
CI00037793,6392,1
CI00037806,6392,1
CI00037820,6392,1
CI00037822,6392,1
CI00037825,6392,1
CI00037845,6392,1
CI00037846,6392,1
CI00037852,6392,1
CI00038104,6392,1
CI00038139,6392,1
CI00038146,6392,1
CI00038287,6392,1
CI00038413,6392,1
CI00038424,6392,1
CI00038450,6392,1
CI00038605,35015,1
CI00038873,6392,1
CI00038944,6392,1
CI00039047,6392,1
CI00039105,35015,1
CI00039112,6392,1
CI00039128,35015,1
CI00039188,24438,1
CI00039455,35015,1
CI00039463,35015,1
CI00039654,2052,1
CI00039865,1908,1
CI00039940,6392,1
CI00039942,6392,1
CI00039946,6392,1
CI00039950,6392,1
CI00039951,6392,1
CI00039957,6392,1
CI00039974,6392,1
CI00039977,6392,1
CI00039980,6392,1
CI00039995,6392,1
CI00039997,6392,1
CI00040003,6392,1
CI00040012,6392,1
CI00040023,6392,1
CI00040032,6392,1
CI00040101,6392,1
CI00040107,35015,1
CI00040120,6392,1
CI00040129,6392,1
CI00040134,6392,1
CI00040239,6392,1
CI00040290,35015,1
CI00040291,35015,1
CI00040294,35015,1
CI00040365,6392,1
CI00040506,35015,1
CI00040511,1908,1
CI00040601,6392,1
CI00040616,6392,1
CI00040617,672286,1
CI00040672,6392,1
CI00040682,6392,1
CI00040689,6392,1
CI00040761,6392,1
CI00040762,6392,1
CI00040834,679970,1
CI00040866,10524,1
CI00040911,683512,0
CI00041074,35015,1
CI00041082,6392,1
CI00041152,6392,1
CI00041157,6392,1
CI00041165,6392,1
CI00041258,680720,1
CI00041433,35015,1
CI00041476,35015,1
CI00041711,1908,1
CI00041894,7787,0
CI00041901,35015,1
CI00042007,39373,1
CI00042317,680333,1
CI00042324,679796,1
CI00042402,683512,0
CI00042449,679812,1
CI00042465,35015,1
CI00042475,35015,1
CI00042480,35015,1
CI00042490,35015,1
CI00042500,35015,1
CI00042656,682739,1
CI00042880,35015,1
CI00043064,36572,1
CI00043209,35015,1
CI00043238,682367,1
CI00043253,682367,1
CI00043261,682367,1
CI00043266,682367,1
CI00043387,681372,1
CI00043412,6392,1
CI00043613,682183,1
CI00043628,672739,1
CI00043738,46566,1
CI00043740,1908,1
CI00043958,35015,1
CI00044102,671444,1
CI00044225,682578,1
CI00044226,677386,1
CI00044264,35015,1
CI00044269,35015,1
CI00044338,35015,1
CI00044490,35015,1
CI00044511,35015,1
CI00044577,35015,1
CI00044793,672286,1
CI00044876,7995,1
CI00045045,7995,1
CI00045061,59052,1
CI00045339,35015,1
CI00045351,35015,1
CI00045356,6392,1
CI00045404,10246,1
CI00045413,35015,1
CI00045419,35015,1
CI00045422,682741,1
CI00045429,35015,1
CI00045441,35015,1
CI00045458,35015,1
CI00045609,6392,1
CI00045618,6392,1
CI00045624,682367,1
CI00045629,6392,1
CI00045752,10246,1
CI00045753,675270,1
CI00045754,10246,1
CI00045765,10246,1
CI00045853,6392,1
CI00045854,6392,1
CI00045873,6392,1
CI00045876,6392,1
CI00045971,6392,1
CI00045972,6392,1
CI00045978,683512,0
CI00046209,10246,1
CI00046283,683512,0
CI00046292,35015,1
CI00046295,35015,1
CI00046319,35015,1
CI00046323,682367,1
CI00046418,35015,1
CI00046443,35015,1
CI00046445,683512,0
CI00046447,35015,1
CI00046453,35015,1
CI00046669,35015,1
CI00046690,683512,0
CI00046740,681527,1
CI00046750,6392,1
CI00046759,6392,1
CI00046784,35015,1
CI00046792,35015,1
CI00046856,6392,1
CI00046883,35015,1
CI00046897,35015,1
CI00046949,35015,1
CI00047148,35015,1
CI00047173,35015,1
CI00047180,35015,1
CI00047185,35015,1
CI00047198,35015,1
CI00047211,35015,1
CI00047212,35015,1
CI00047214,35015,1
CI00047244,35015,1
CI00047245,35015,1
CI00047302,35015,1
CI00047317,35015,1
CI00047318,35015,1
CI00047320,35015,1
CI00047326,35015,1
CI00047336,35015,1
CI00047394,35015,1
CI00047405,35015,1
CI00047407,35015,1
CI00047410,679045,1
CI00047418,35015,1
CI00047429,35015,1
CI00047477,35015,1
CI00047479,35015,1
CI00047522,6392,1
CI00047541,35015,1
CI00047562,35015,1
CI00047772,35015,1
CI00047774,35015,1
CI00047800,35015,1
CI00047857,35015,1
CI00047858,35015,1
CI00047876,35015,1
CI00047887,35015,1
CI00047909,35015,1
CI00047936,683512,0
CI00048063,35015,1
CI00048174,683512,0
CI00048466,6392,1
CI00048484,35015,1
CI00048560,44077,1
CI00048618,35015,1
CI00048690,35015,1
CI00048845,35015,1
CI00048945,35015,1
CI00048946,24881,1
CI00048947,35015,1
CI00048948,10748,1
CI00048976,35015,1
CI00048980,35015,1
CI00048987,35015,1
CI00049033,35015,1
CI00049047,676065,1
CI00049068,35015,1
CI00049202,35015,1
CI00049333,35015,1
CI00049369,35015,1
CI00049478,35015,1
CI00049506,670671,1
CI00049704,28586,1
CI00049818,35015,1
CI00049837,35015,1
CI00049869,35015,1
CI00049968,9338,1
CI00049982,35015,1
CI00050010,672739,1
CI00050061,35015,1
CI00050096,10964,1
CI00050098,43233,1
CI00050185,682707,1
CI00050190,682707,1
CI00050250,6392,1
CI00050255,5160,1
CI00050386,683512,0
CI00050575,674265,0
CI00050697,679796,1
CI00051051,6392,1
CI00051265,10380,1
CI00051401,6392,1
CI00051404,6392,1
CI00052385,683139,1
CI00052387,6370,1
CI00052478,681079,1
CI00052485,681079,1
CI00052489,681079,1
CI00052780,10149,1
CI00052841,36572,1
CI00052886,683512,0
CI00053244,6392,1
CI00053486,683098,1
CI00053491,683098,1
CI00053541,682110,1
CI00053640,24881,1
CI00054076,679796,1
CI00054098,683157,1
CI00054100,683157,1
CI00054991,683098,1
CI00054992,683098,1
CI00055182,6392,1
CI00055286,11406,1
CI00055309,683309,1
CI00055875,683280,1
CI00055897,683280,1
CI00055912,3763,1
CI00055936,682942,1
CI00055960,683280,0
CI00055964,683280,1
CI00056116,10748,1
CI00056584,683512,0
CI00056868,39088,1
CI00056877,39088,1
CI00056916,51333,1
CI00056965,660023,1
CI00057008,681540,1
CI00057216,683098,1
CI00057245,33792,1
CI00057406,683380,1
CI00057566,40178,1
CI00057950,683512,0
CI00058299,683512,0
CI00058445,10559,1
CI00058451,10559,1
CI00058565,10748,1
CI00059474,683512,0
CI00059497,670409,1
CI00059793,682654,1
CI00059796,682654,1
CI00060017,682654,1
CI00060039,682654,1
CI00060117,682654,1
CI00060126,676574,1
CI00060177,682885,1
CI00060494,678045,1
CI00060712,673603,1
CI00060775,36572,1
CI00061430,675142,1
CI00062324,682033,1
CI00062791,683512,0
CI00063609,53849,1
CI00064313,676979,1
CI00064600,682614,1
CI00064610,681885,1
CI00064773,10748,1
CI00064933,23651,1
CI00065387,9594,1
CI00065552,9594,1
CI00065652,9594,1
CI00065956,679231,1
CI00066962,9594,1
CI00067211,680918,1
CI00067528,9594,1
CI00067828,9594,1
CI00067995,9594,1
CI00067996,9594,1
CI00067999,9594,1
CI00068000,9594,1
CI00068004,9594,1
CI00068153,679045,1
CI00068168,6392,1
CI00068212,683512,0
CI00068680,680918,1
CI00069003,683599,1
CI00069004,683599,1
CI00069013,675432,1
CI00069096,9594,1
CI00069109,9594,1
CI00069206,9594,1
CI00069982,6392,1
CI00070516,683098,1
CI00070657,30623,1
CI00070742,9594,1
CI00070750,9594,1
CI00070893,672034,1
CI00071621,673542,1
CI00071839,683098,1
CI00072362,9594,1
CI00072409,36572,1
CI00072438,683815,1
CI00072596,10748,1
CI00073125,683098,1
CI00073150,683098,1
CI00073152,683098,1
CI00073569,2346,1
CI00074535,29052,1
CI00075045,680250,1
CI00075075,29052,1
CI00075291,683098,1
CI00075297,683098,1
CI00075369,10748,1
CI00076143,36572,1
CI00076267,681527,1
CI00076281,681527,1
CI00076283,681527,1
CI00076289,681527,1
CI00076294,681527,1
CI00076298,681527,1
CI00076299,681527,1
CI00076307,681527,1
CI00076438,681527,1
CI00076452,681527,1
CI00076641,670415,1
CI00076697,683905,1
CI00076913,675339,1
CI00077218,683098,1
CI00077266,6370,1
CI00077276,6370,1
CI00077281,680830,1
CI00077306,6392,1
CI00077396,6370,1
CI00077398,6370,1
CI00077400,6370,1
CI00077434,680918,1
CI00078729,683599,1
CI00078882,6392,1
CI00079041,683599,1
CI00079453,683618,1
CI00080459,9594,1
CI00081796,6392,1
CI00082592,683971,1
CI00082897,3973,1
CI00082914,27247,1
CI00084354,683847,1
CI00085205,677191,1
CI00085331,49,1
CI00086698,9813,1
CI00086812,683272,1
CI00086815,683272,1
CI00086927,681213,1
CI00087848,683098,1
CI00088411,670383,1
CI00088659,36572,1
CI00088681,670409,1
CI00089358,661603,1
CI00089471,10748,1
CI00089655,6392,1
CI00090163,671274,1
CI00090483,672739,1
CI00091973,6392,1
CI00096750,23651,1
CI00097654,683971,1
CI00098364,683955,1
CI00098699,684256,1
CI00098704,684256,1
CI00098705,684256,1
CI00098718,684256,1
CI00098777,684256,1
CI00098778,684256,1
CI00098793,684256,1
CI00098794,684256,1
CI00098798,684256,1
CI00098811,684256,1
CI00098820,684256,1
CI00098821,684256,1
CI00099323,681213,1
CI00099358,683098,1
CI00099702,683098,1
CI00099789,679045,1
CI00099970,683098,1
CI00100000,683024,1
CI00100517,684538,1
CI00100782,683024,1
CI00101049,682900,1
CI00101397,672034,1
CI00101678,683977,1
CI00102094,683098,1
CI00102112,683098,1
CI00102835,683098,1
CI00103386,683098,1
CI00105570,6392,1
CI00106142,684256,1
CLYA000549,678008,1
MA05000883,678783,1
MA05000887,678783,1
MA05000893,678783,1
MA09000346,30075,1
MA09000515,683512,1
MA09000850,683512,0
MA09000892,30075,0
MA09002116,683512,0
MA09003084,10964,1
MA09003148,10611,1
MA09003207,10611,1
MA09003320,39398,1
MA09003383,683512,0
MA09004243,672739,1
MA09004256,672739,1
MA09004281,672739,1
MA09004305,672739,1
MA09004306,672739,1
MA09004307,672739,1
MA09004314,672739,1
MA09004345,672739,1
MA09004687,683512,0
MA09011851,683512,0
MA09012706,672952,1
MA09012757,672952,0
MA09015011,6392,0
MA09015054,10149,1
MA09015088,10149,1
MA09015217,683512,0
MA09015225,683512,0
MA09015445,1908,1
MA09015461,1908,1
MA09015465,1908,0
MA09015522,1908,1
MA09015531,1908,1
MA09015532,1908,1
MA09015536,1908,1
MA09015539,1908,1
MA09015547,679662,1
MA09015549,679662,1
MA09015556,679662,1
MA09015681,33169,1
MA09015687,33169,1
MA09015689,33169,1
MA09015709,33169,1
MA09015719,33169,1
MA09015783,683512,0
MA09016325,35253,1
MA09016339,35253,1
MA09016346,35253,1
MA09016347,35253,0
MA09016424,35253,1
MA09016434,35253,1
MA09019005,677681,1
MA09023001,683512,0
MA09023470,683512,0
MA09024003,676725,1
MA09024552,35326,1
MA09024561,35326,1
MA09024568,35326,1
MA10000364,9594,1
MA10000555,9594,1
MA10000578,9813,1
MA10001559,3686,1
MA10003328,36421,1
MA10003763,6392,1
MA10003771,6392,1
MA10003782,6392,1
MA10004064,6392,1
MA10004816,6392,1
MA10004824,6392,1
MA10004851,6392,1
MA10004852,6392,1
MA10005061,6392,1
MA10005166,6392,1
MA10005257,6392,1
MA10005263,6392,1
MA10005264,6392,1
MA10005266,6392,1
MA10005271,6392,1
MA10005275,6392,1
MA10005291,6392,1
MA10005297,6392,1
MA10005301,6392,1
MA10005326,6392,1
MA10005372,6392,1
MA10005438,683512,0
MA10008376,1908,1
MA10008380,1908,1
MA10008389,1908,1
MA10008390,1908,1
MA10008393,1908,1
MA10008434,1908,1
MA10008480,1908,1
MA10008483,1908,1
MA10008530,1908,1
MA10008541,1908,1
MA10008542,1908,1
MA10008545,1908,1
MA10008561,1908,1
MA10008571,1908,1
MA10008572,1908,1
MA10008573,1908,1
MA10008578,1908,1
MA10008606,1908,1
MA10008669,1908,1
MA10008670,1908,1
MA10008688,1908,1
MA10008709,1908,1
MA10008710,1908,1
MA10008720,1908,1
MA10008805,1908,1
MA10008912,1908,1
MA10008927,1908,1
MA10008933,1908,1
MA10008934,1908,1
MA10008962,1908,1
MA10008969,1908,1
MA10008974,1908,1
MA10008976,1908,1
MA10009021,1908,1
MA10009032,1908,1
MA10009056,1908,1
MA10009081,1908,1
MA10009131,1908,1
MA10009136,1908,1
MA10009178,1908,1
MA10009202,1908,1
MA10009250,1908,1
MA10013397,683512,0
MA10013873,39088,1
MA10013935,683512,0
MA10014068,683512,0
MA10014100,683512,0
MA10014154,683512,0
MA10016383,661428,1
MA12002167,36572,1
MA12002175,36572,1
MA12002179,36572,1
MA12002180,36572,1
MA12002184,36572,1
MA12002186,36572,1
MA12002188,36572,1
MA12002192,36572,1
MA12002194,36572,1
MA12002200,36572,1
MA12002201,36572,1
MA12002202,36572,1
MA12002207,36572,1
MA12002215,36572,1
MA12002228,36572,1
MA12002234,36572,1
MA12002235,36572,1
MA12002237,36572,1
MA12002239,36572,1
MA12002244,36572,1
MA12002250,36572,1
MA12002251,36572,1
MA12002258,36572,1
MA12002288,677992,1
MA12002382,677992,1
MA12002593,35015,1
MA12002622,35015,1
MA12002633,35015,1
MA12002665,35015,1
MA12002666,35015,1
MA12002669,35015,1
MA12002684,35015,1
MA12002739,35015,1
MA12002744,35015,1
MA12002752,35015,1
MA12002768,35015,1
MA12002784,35015,1
MA12002787,35015,1
MA12002792,35015,1
MA12002794,35015,0
MA12002825,23542,1
MA12002846,23542,1
MA12002852,23542,1
MA12002904,23542,1
